目标 920021: 90天  2026-03-25 ~ 2026-08-04
---- 全样本相关 / 近30日相关 ----
  0.636    0.602  样本 89  数码视讯 sz300079
  0.576     0.66  样本 89  北证50 bj899050
   0.49    0.345  样本 89  华数传媒 sz000156
  0.481    0.619  样本 89  优刻得 sh688158
  0.352    0.311  样本 89  数据港 sh603881
  0.339    0.335  样本 89  中国卫通 sh601698
  0.329    0.402  样本 89  云赛智联 sh600602
  0.305    0.262  样本 89  上证指数 sh000001
  0.235    0.296  样本 89  创业板指 sz399006
   0.22    0.308  样本 89  淳中科技 sh603516
  0.207    0.243  样本 89  贵广网络 sh600996
  0.168    0.153  样本 89  浪潮信息 sz000977
  0.117    0.012  样本 89  中科曙光 sh603019
   0.08     0.14  样本 89  寒武纪 sh688256
    -98      -98  样本  0  云创数据(北交) bj835305
    -98      -98  样本  0  并行科技(北交) bj839493
    -98      -98  样本  0  华岭股份(北交) bj430139
    -99      -99  样本  0  首都在线 sz300846
    -99      -99  样本  0  新媒股份 sz300770
